Name,Age,Gender,Class,Fare,Survival
"Allen, Miss. Elisabeth Walton",29,Female,1st,211.34,Survived
"Allison, Master. Hudson Trevor",1,Male,1st,151.55,Survived
"Allison, Miss. Helen Loraine",2,Female,1st,151.55,Died
"Allison, Mr. Hudson Joshua Creighton",30,Male,1st,151.55,Died
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",25,Female,1st,151.55,Died
"Anderson, Mr. Harry",48,Male,1st,26.55,Survived
"Andrews, Miss. Kornelia Theodosia",63,Female,1st,77.96,Survived
"Andrews, Mr. Thomas Jr",39,Male,1st,0,Died
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",53,Female,1st,51.48,Survived
"Artagaveytia, Mr. Ramon",71,Male,1st,49.5,Died
"Astor, Col. John Jacob",47,Male,1st,227.53,Died
"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",18,Female,1st,227.53,Survived
"Aubart, Mme. Leontine Pauline",24,Female,1st,69.3,Survived
"Barber, Miss. Ellen ""Nellie""",26,Female,1st,78.85,Survived
"Barkworth, Mr. Algernon Henry Wilson",80,Male,1st,30,Survived
"Baumann, Mr. John D",,Male,1st,25.93,Died
"Baxter, Mr. Quigg Edmond",24,Male,1st,247.52,Died
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50,Female,1st,247.52,Survived
"Bazzani, Miss. Albina",32,Female,1st,76.29,Survived
"Beattie, Mr. Thomson",36,Male,1st,75.24,Died
"Beckwith, Mr. Richard Leonard",37,Male,1st,52.55,Survived
"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",47,Female,1st,52.55,Survived
"Behr, Mr. Karl Howell",26,Male,1st,30,Survived
"Bidois, Miss. Rosalie",42,Female,1st,227.53,Survived
"Bird, Miss. Ellen",29,Female,1st,221.78,Survived
"Birnbaum, Mr. Jakob",25,Male,1st,26,Died
"Bishop, Mr. Dickinson H",25,Male,1st,91.08,Survived
"Bishop, Mrs. Dickinson H (Helen Walton)",19,Female,1st,91.08,Survived
"Bissette, Miss. Amelia",35,Female,1st,135.63,Survived
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",28,Male,1st,26.55,Survived
"Blackwell, Mr. Stephen Weart",45,Male,1st,35.5,Died
"Blank, Mr. Henry",40,Male,1st,31,Survived
"Bonnell, Miss. Caroline",30,Female,1st,164.87,Survived
"Bonnell, Miss. Elizabeth",58,Female,1st,26.55,Survived
"Borebank, Mr. John James",42,Male,1st,26.55,Died
"Bowen, Miss. Grace Scott",45,Female,1st,262.38,Survived
"Bowerman, Miss. Elsie Edith",22,Female,1st,55,Survived
"Bradley, Mr. George (""George Arthur Brayton"")",,Male,1st,26.55,Survived
"Brady, Mr. John Bertram",41,Male,1st,30.5,Died
"Brandeis, Mr. Emil",48,Male,1st,50.5,Died
"Brewe, Dr. Arthur Jackson",,Male,1st,39.6,Died
"Brown, Mrs. James Joseph (Margaret Tobin)",44,Female,1st,27.72,Survived
"Brown, Mrs. John Murray (Caroline Lane Lamson)",59,Female,1st,51.48,Survived
"Bucknell, Mrs. William Robert (Emma Eliza Ward)",60,Female,1st,76.29,Survived
"Burns, Miss. Elizabeth Margaret",41,Female,1st,134.5,Survived
"Butt, Major. Archibald Willingham",45,Male,1st,26.55,Died
"Cairns, Mr. Alexander",,Male,1st,31,Died
"Calderhead, Mr. Edward Pennington",42,Male,1st,26.29,Survived
"Candee, Mrs. Edward (Helen Churchill Hungerford)",53,Female,1st,27.45,Survived
"Cardeza, Mr. Thomas Drake Martinez",36,Male,1st,512.33,Survived
"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",58,Female,1st,512.33,Survived
"Carlsson, Mr. Frans Olof",33,Male,1st,5,Died
"Carrau, Mr. Francisco M",28,Male,1st,47.1,Died
"Carrau, Mr. Jose Pedro",17,Male,1st,47.1,Died
"Carter, Master. William Thornton II",11,Male,1st,120,Survived
"Carter, Miss. Lucile Polk",14,Female,1st,120,Survived
"Carter, Mr. William Ernest",36,Male,1st,120,Survived
"Carter, Mrs. William Ernest (Lucile Polk)",36,Female,1st,120,Survived
"Case, Mr. Howard Brown",49,Male,1st,26,Died
"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",,Female,1st,27.72,Survived
"Cavendish, Mr. Tyrell William",36,Male,1st,78.85,Died
"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",76,Female,1st,78.85,Survived
"Chaffee, Mr. Herbert Fuller",46,Male,1st,61.18,Died
"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",47,Female,1st,61.18,Survived
"Chambers, Mr. Norman Campbell",27,Male,1st,53.1,Survived
"Chambers, Mrs. Norman Campbell (Bertha Griggs)",33,Female,1st,53.1,Survived
"Chaudanson, Miss. Victorine",36,Female,1st,262.38,Survived
"Cherry, Miss. Gladys",30,Female,1st,86.5,Survived
"Chevre, Mr. Paul Romaine",45,Male,1st,29.7,Survived
"Chibnall, Mrs. (Edith Martha Bowerman)",,Female,1st,55,Survived
"Chisholm, Mr. Roderick Robert Crispin",,Male,1st,0,Died
"Clark, Mr. Walter Miller",27,Male,1st,136.78,Died
"Clark, Mrs. Walter Miller (Virginia McDowell)",26,Female,1st,136.78,Survived
"Cleaver, Miss. Alice",22,Female,1st,151.55,Survived
"Clifford, Mr. George Quincy",,Male,1st,52,Died
"Colley, Mr. Edward Pomeroy",47,Male,1st,25.59,Died
"Compton, Miss. Sara Rebecca",39,Female,1st,83.16,Survived
"Compton, Mr. Alexander Taylor Jr",37,Male,1st,83.16,Died
"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",64,Female,1st,83.16,Survived
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",55,Female,1st,25.7,Survived
"Crafton, Mr. John Bertram",,Male,1st,26.55,Died
"Crosby, Capt. Edward Gifford",70,Male,1st,71,Died
"Crosby, Miss. Harriet R",36,Female,1st,71,Survived
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",64,Female,1st,26.55,Survived
"Cumings, Mr. John Bradley",39,Male,1st,71.28,Died
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38,Female,1st,71.28,Survived
"Daly, Mr. Peter Denis",51,Male,1st,26.55,Survived
"Daniel, Mr. Robert Williams",27,Male,1st,30.5,Survived
"Daniels, Miss. Sarah",33,Female,1st,151.55,Survived
"Davidson, Mr. Thornton",31,Male,1st,52,Died
"Davidson, Mrs. Thornton (Orian Hays)",27,Female,1st,52,Survived
"Dick, Mr. Albert Adrian",31,Male,1st,57,Survived
"Dick, Mrs. Albert Adrian (Vera Gillespie)",17,Female,1st,57,Survived
"Dodge, Dr. Washington",53,Male,1st,81.86,Survived
"Dodge, Master. Washington",4,Male,1st,81.86,Survived
"Dodge, Mrs. Washington (Ruth Vidaver)",54,Female,1st,81.86,Survived
"Douglas, Mr. Walter Donald",50,Male,1st,106.43,Died
"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",27,Female,1st,247.52,Survived
"Douglas, Mrs. Walter Donald (Mahala Dutton)",48,Female,1st,106.43,Survived
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",48,Female,1st,39.6,Survived
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",49,Male,1st,56.93,Survived
"Dulles, Mr. William Crothers",39,Male,1st,29.7,Died
"Earnshaw, Mrs. Boulton (Olive Potter)",23,Female,1st,83.16,Survived
"Endres, Miss. Caroline Louise",38,Female,1st,227.53,Survived
"Eustis, Miss. Elizabeth Mussey",54,Female,1st,78.27,Survived
"Evans, Miss. Edith Corse",36,Female,1st,31.68,Died
"Farthing, Mr. John",,Male,1st,221.78,Died
"Flegenheim, Mrs. Alfred (Antoinette)",,Female,1st,31.68,Survived
"Fleming, Miss. Margaret",,Female,1st,110.88,Survived
"Flynn, Mr. John Irwin (""Irving"")",36,Male,1st,26.39,Survived
"Foreman, Mr. Benjamin Laventall",30,Male,1st,27.75,Died
"Fortune, Miss. Alice Elizabeth",24,Female,1st,263,Survived
"Fortune, Miss. Ethel Flora",28,Female,1st,263,Survived
"Fortune, Miss. Mabel Helen",23,Female,1st,263,Survived
"Fortune, Mr. Charles Alexander",19,Male,1st,263,Died
"Fortune, Mr. Mark",64,Male,1st,263,Died
"Fortune, Mrs. Mark (Mary McDougald)",60,Female,1st,263,Survived
"Francatelli, Miss. Laura Mabel",30,Female,1st,56.93,Survived
"Franklin, Mr. Thomas Parham",,Male,1st,26.55,Died
"Frauenthal, Dr. Henry William",50,Male,1st,133.65,Survived
